year,gear,flag_iso2,fleet,species,catch,units,flag_name,flag_iso3,is_SID
1970,P,AU,NA,alb,100,mt,Australia,AUS,FALSE
1970,P,AU,NA,bet,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,pbf,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,skj,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,yft,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,blm,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,bum,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,mls,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,swo,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,ham,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,mak,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,ocs,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,por,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,fal,0,mt,Australia,AUS,FALSE
1970,P,AU,NA,thr,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,alb,100,mt,Australia,AUS,FALSE
1971,P,AU,NA,bet,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,pbf,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,skj,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,yft,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,blm,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,bum,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,mls,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,swo,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,ham,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,mak,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,ocs,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,por,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,fal,0,mt,Australia,AUS,FALSE
1971,P,AU,NA,thr,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,alb,100,mt,Australia,AUS,FALSE
1972,P,AU,NA,bet,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,pbf,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,skj,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,yft,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,blm,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,bum,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,mls,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,swo,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,ham,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,mak,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,ocs,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,por,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,fal,0,mt,Australia,AUS,FALSE
1972,P,AU,NA,thr,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,alb,100,mt,Australia,AUS,FALSE
1973,P,AU,NA,bet,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,pbf,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,skj,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,yft,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,blm,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,bum,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,mls,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,swo,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,ham,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,mak,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,ocs,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,por,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,fal,0,mt,Australia,AUS,FALSE
1973,P,AU,NA,thr,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,alb,100,mt,Australia,AUS,FALSE
1974,P,AU,NA,bet,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,pbf,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,skj,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,yft,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,blm,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,bum,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,mls,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,swo,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,ham,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,mak,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,ocs,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,por,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,fal,0,mt,Australia,AUS,FALSE
1974,P,AU,NA,thr,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,alb,100,mt,Australia,AUS,FALSE
1975,S,AU,AF,alb,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,bet,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,bet,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,pbf,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,pbf,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,skj,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,skj,1900,mt,Australia,AUS,FALSE
1975,P,AU,NA,yft,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,yft,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,blm,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,blm,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,bum,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,bum,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,mls,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,mls,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,swo,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,swo,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,ham,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,ham,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,mak,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,mak,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,ocs,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,ocs,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,por,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,por,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,fal,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,fal,0,mt,Australia,AUS,FALSE
1975,P,AU,NA,thr,0,mt,Australia,AUS,FALSE
1975,S,AU,AF,thr,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,alb,100,mt,Australia,AUS,FALSE
1976,P,AU,NA,bet,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,pbf,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,skj,46,mt,Australia,AUS,FALSE
1976,P,AU,NA,yft,1,mt,Australia,AUS,FALSE
1976,P,AU,NA,blm,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,bum,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,mls,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,swo,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,ham,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,mak,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,ocs,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,por,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,fal,0,mt,Australia,AUS,FALSE
1976,P,AU,NA,thr,0,mt,Australia,AUS,FALSE
1977,P,AU,NA,alb,100,mt,Australia,AUS,FALSE
1977,P,AU,NA,bet,0,mt,Australia,AUS,FALSE
