year,gear,flag_iso2,fleet,species,catch,units,flag_name,flag_iso3,is_SID
1987,L,AU,AU,blm,17,mt,Australia,AUS,FALSE
1987,L,AU,AU,bum,51,mt,Australia,AUS,FALSE
1987,L,AU,AU,mls,65,mt,Australia,AUS,FALSE
1987,L,AU,AU,swo,14,mt,Australia,AUS,FALSE
1987,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1987,L,AU,AU,mak,0,mt,Australia,AUS,FALSE
1987,L,AU,AU,ocs,0,mt,Australia,AUS,FALSE
1987,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1987,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
1987,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1988,L,AU,AU,alb,107,mt,Australia,AUS,FALSE
1988,L,AU,AU,bet,43,mt,Australia,AUS,FALSE
1988,L,AU,AU,pbf,0,mt,Australia,AUS,FALSE
1988,L,AU,AU,skj,47,mt,Australia,AUS,FALSE
1988,L,AU,AU,yft,922,mt,Australia,AUS,FALSE
1988,L,AU,AU,blm,13,mt,Australia,AUS,FALSE
1988,L,AU,AU,bum,36,mt,Australia,AUS,FALSE
1988,L,AU,AU,mls,76,mt,Australia,AUS,FALSE
1988,L,AU,AU,swo,13,mt,Australia,AUS,FALSE
1988,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1988,L,AU,AU,mak,0,mt,Australia,AUS,FALSE
1988,L,AU,AU,ocs,0,mt,Australia,AUS,FALSE
1988,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1988,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
1988,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,alb,93,mt,Australia,AUS,FALSE
1989,L,AU,JV,alb,463,mt,Australia,AUS,FALSE
1989,L,AU,AU,bet,19,mt,Australia,AUS,FALSE
1989,L,AU,JV,bet,43,mt,Australia,AUS,FALSE
1989,L,AU,AU,pbf,0,mt,Australia,AUS,FALSE
1989,L,AU,JV,pbf,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,skj,43,mt,Australia,AUS,FALSE
1989,L,AU,JV,skj,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,yft,833,mt,Australia,AUS,FALSE
